component	package	status	description
ir	ir/	complete	Canonical IR types (Workflow, Node, Edge, Condition)
parser-lexer	parser/	complete	Line-based indentation-aware lexer
parser-core	parser/	complete	Parser: .dip source to IR with error recovery
parser-conditions	parser/	complete	Condition expression parser (and/or/not/compare)
validator	validator/	complete	Graph structure validation (DIP001-DIP009)
linter	validator/	complete	Semantic quality warnings (DIP101-DIP112)
formatter	formatter/	complete	Canonical formatter: IR to .dip source
dot-exporter	export/	complete	DOT exporter: IR to DOT string
migration	migrate/	in_progress	Migration tool: DOT to IR to .dip
cli	cmd/dippin/	pending	CLI subcommands: parse, validate, lint, fmt, export-dot, migrate
